"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.703947532,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.285955753,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q2",1.206465365,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q3",0.415940623,
"KOR","QGDP","TOT","PC_CHGPP","Q","2016-Q4",0.606194491,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q1",0.984785463,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q2",0.714647727,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q3",1.441838418,
"KOR","QGDP","TOT","PC_CHGPP","Q","2017-Q4",-0.319868975,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q1",1.205851771,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q2",0.636597085,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q3",0.730848332,
"KOR","QGDP","TOT","PC_CHGPP","Q","2018-Q4",0.700312956,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q1",-0.198579317,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q2",1.059905534,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q3",0.527437881,
"KOR","QGDP","TOT","PC_CHGPP","Q","2019-Q4",1.271115777,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q1",-1.337455717,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q2",-3.026935758,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q3",2.347785538,
"KOR","QGDP","TOT","PC_CHGPP","Q","2020-Q4",1.213742846,
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q1",1.724067239,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q2",0.833347929,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q3",0.213238983,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2021-Q4",1.33777574,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q1",0.633967885,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q2",0.739266758,"P"
"KOR","QGDP","TOT","PC_CHGPP","Q","2022-Q3",0.322829368,"P"
"AUS","QGDP","TOT","PC_CHGPP","Q","2015-Q4",0.612914107,
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q1",0.885019595,
"AUS","QGDP","TOT","PC_CHGPP","Q","2016-Q2",0.630757582,
